"Step","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MIN","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MAX","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MIN","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MAX"
"155","0.296875","0.296875","0.296875","0.34375","0.34375","0.34375"
"156","0.234375","0.234375","0.234375","0.171875","0.171875","0.171875"
"157","0.328125","0.328125","0.328125","0.1875","0.1875","0.1875"
"158","0.140625","0.140625","0.140625","0.125","0.125","0.125"
"159","0.234375","0.234375","0.234375","0.21875","0.21875","0.21875"
"160","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"161","0.125","0.125","0.125","0.140625","0.140625","0.140625"
"162","0.234375","0.234375","0.234375","0.25","0.25","0.25"
"163","0.140625","0.140625","0.140625","0.078125","0.078125","0.078125"
"164","0.5625","0.5625","0.5625","0.34375","0.34375","0.34375"
"165","0.359375","0.359375","0.359375","0.34375","0.34375","0.34375"
"166","0.15625","0.15625","0.15625","0.125","0.125","0.125"
"167","0.109375","0.109375","0.109375","0.15625","0.15625","0.15625"
"168","0.546875","0.546875","0.546875","0.46875","0.46875","0.46875"
"169","0.328125","0.328125","0.328125","0.296875","0.296875","0.296875"
"170","0.3125","0.3125","0.3125","0.296875","0.296875","0.296875"
"171","0.28125","0.28125","0.28125","0.234375","0.234375","0.234375"
"172","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375"
"173","0.390625","0.390625","0.390625","0.28125","0.28125","0.28125"
"174","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375"
"175","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"176","0.28125","0.28125","0.28125","0.359375","0.359375","0.359375"
"177","0.28125","0.28125","0.28125","0.234375","0.234375","0.234375"
"178","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"179","0.3125","0.3125","0.3125","0.25","0.25","0.25"
"180","0.3125","0.3125","0.3125","0.25","0.25","0.25"
"181","0.453125","0.453125","0.453125","0.390625","0.390625","0.390625"
"182","0.21875","0.21875","0.21875","0.140625","0.140625","0.140625"
"183","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"184","0.125","0.125","0.125","0.078125","0.078125","0.078125"
"185","0.34375","0.34375","0.34375","0.296875","0.296875","0.296875"
"186","0.359375","0.359375","0.359375","0.296875","0.296875","0.296875"
"187","0.25","0.25","0.25","0.296875","0.296875","0.296875"
"188","0.34375","0.34375","0.34375","0.28125","0.28125","0.28125"
"189","0.1875","0.1875","0.1875","0.140625","0.140625","0.140625"
"190","0.1875","0.1875","0.1875","0.140625","0.140625","0.140625"
"191","0.265625","0.265625","0.265625","0.15625","0.15625","0.15625"
"192","0.421875","0.421875","0.421875","0.28125","0.28125","0.28125"
"193","0.3125","0.3125","0.3125","0.359375","0.359375","0.359375"
"194","0.34375","0.34375","0.34375","0.296875","0.296875","0.296875"
"195","0.203125","0.203125","0.203125","0.09375","0.09375","0.09375"
"196","0.34375","0.34375","0.34375","0.265625","0.265625","0.265625"
"197","0.28125","0.28125","0.28125","0.171875","0.171875","0.171875"
"198","0.296875","0.296875","0.296875","0.25","0.25","0.25"
"199","0.46875","0.46875","0.46875","0.375","0.375","0.375"
"200","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"201","0.171875","0.171875","0.171875","","",""
"202","0.21875","0.21875","0.21875","","",""
"203","0.390625","0.390625","0.390625","","",""
"204","0.265625","0.265625","0.265625","","",""
"205","0.21875","0.21875","0.21875","","",""
"206","0.34375","0.34375","0.34375","","",""
"207","0.21875","0.21875","0.21875","","",""
"208","0.5","0.5","0.5","","",""
"209","0.1875","0.1875","0.1875","","",""
"210","0.59375","0.59375","0.59375","","",""
"211","0.3125","0.3125","0.3125","","",""
"212","0.171875","0.171875","0.171875","","",""
"213","0.515625","0.515625","0.515625","","",""
"214","0.1875","0.1875","0.1875","","",""
"215","0.34375","0.34375","0.34375","","",""
"216","0.359375","0.359375","0.359375","","",""
"217","0.28125","0.28125","0.28125","","",""
"218","0.390625","0.390625","0.390625","","",""
"219","0.5","0.5","0.5","","",""
"220","0.296875","0.296875","0.296875","","",""
"221","0.34375","0.34375","0.34375","","",""
"222","0.359375","0.359375","0.359375","","",""
"223","0.140625","0.140625","0.140625","","",""
"224","0.3125","0.3125","0.3125","","",""
"225","0.390625","0.390625","0.390625","","",""
"226","0.3125","0.3125","0.3125","","",""
"227","0.25","0.25","0.25","","",""
"228","0.53125","0.53125","0.53125","","",""
"229","0.3125","0.3125","0.3125","","",""
"230","0.546875","0.546875","0.546875","","",""
"231","0.4375","0.4375","0.4375","","",""
"232","0.484375","0.484375","0.484375","","",""
"233","0.171875","0.171875","0.171875","","",""
"234","0.078125","0.078125","0.078125","","",""
"235","0.25","0.25","0.25","","",""
"236","0.4375","0.4375","0.4375","","",""
"237","0.546875","0.546875","0.546875","","",""
"238","0.359375","0.359375","0.359375","","",""
"239","0.296875","0.296875","0.296875","","",""
"240","0.609375","0.609375","0.609375","","",""
"241","0.5","0.5","0.5","","",""
"242","0.34375","0.34375","0.34375","","",""
"243","0.515625","0.515625","0.515625","","",""
"244","0.25","0.25","0.25","","",""
"245","0.453125","0.453125","0.453125","","",""
"246","0.3125","0.3125","0.3125","","",""
"247","0.265625","0.265625","0.265625","","",""
"248","0.46875","0.46875","0.46875","","",""
"249","0.34375","0.34375","0.34375","","",""
"250","0.140625","0.140625","0.140625","","",""
"251","0.515625","0.515625","0.515625","","",""
"252","0.703125","0.703125","0.703125","","",""
"253","0.53125","0.53125","0.53125","","",""
"254","0.5","0.5","0.5","","",""
"255","0.109375","0.109375","0.109375","","",""
"256","0.46875","0.46875","0.46875","","",""
"257","0.390625","0.390625","0.390625","","",""
"258","0.09375","0.09375","0.09375","","",""
"259","0.296875","0.296875","0.296875","","",""
"260","0.375","0.375","0.375","","",""
"261","0.515625","0.515625","0.515625","","",""
"262","0.515625","0.515625","0.515625","","",""
"263","0.3125","0.3125","0.3125","","",""
"264","0.234375","0.234375","0.234375","","",""
"265","0.234375","0.234375","0.234375","","",""
"266","0.296875","0.296875","0.296875","","",""
"267","0.375","0.375","0.375","","",""
"268","0.328125","0.328125","0.328125","","",""
"269","0.4375","0.4375","0.4375","","",""
"270","0.171875","0.171875","0.171875","","",""
"271","0.390625","0.390625","0.390625","","",""
"272","0.359375","0.359375","0.359375","","",""
"273","0.640625","0.640625","0.640625","","",""
"274","0.578125","0.578125","0.578125","","",""
"275","0.28125","0.28125","0.28125","","",""
"276","0.578125","0.578125","0.578125","","",""
"277","0.4375","0.4375","0.4375","","",""
"278","0.296875","0.296875","0.296875","","",""
"279","0.546875","0.546875","0.546875","","",""
"280","0.375","0.375","0.375","","",""
"281","0.546875","0.546875","0.546875","","",""
"282","0.46875","0.46875","0.46875","","",""
"283","0.625","0.625","0.625","","",""
"284","0.3125","0.3125","0.3125","","",""
"285","0.75","0.75","0.75","","",""
"286","0.453125","0.453125","0.453125","","",""
"287","0.46875","0.46875","0.46875","","",""
"288","0.421875","0.421875","0.421875","","",""
"289","0.5","0.5","0.5","","",""
"290","0.1875","0.1875","0.1875","","",""
"291","0.375","0.375","0.375","","",""
"292","0.5","0.5","0.5","","",""
"293","0.359375","0.359375","0.359375","","",""
"294","0.359375","0.359375","0.359375","","",""
"295","0.203125","0.203125","0.203125","","",""
"296","0.34375","0.34375","0.34375","","",""
"297","0.453125","0.453125","0.453125","","",""
"298","0.203125","0.203125","0.203125","","",""
"299","0.546875","0.546875","0.546875","","",""
"300","0.546875","0.546875","0.546875","","",""
"301","0.546875","0.546875","0.546875","","",""
"302","0.484375","0.484375","0.484375","","",""
"303","0.359375","0.359375","0.359375","","",""
"304","0.234375","0.234375","0.234375","","",""
"305","0.21875","0.21875","0.21875","","",""
"306","0.46875","0.46875","0.46875","","",""
"307","0.5","0.5","0.5","","",""
"308","0.609375","0.609375","0.609375","","",""
"309","0.59375","0.59375","0.59375","","",""
"310","0.5","0.5","0.5","","",""
"311","0.328125","0.328125","0.328125","","",""
"312","0.4375","0.4375","0.4375","","",""
"313","0.890625","0.890625","0.890625","","",""
"314","0.515625","0.515625","0.515625","","",""
"315","0.40625","0.40625","0.40625","","",""
"316","0.453125","0.453125","0.453125","","",""
"317","0.421875","0.421875","0.421875","","",""
"318","0.25","0.25","0.25","","",""
"319","0.390625","0.390625","0.390625","","",""
"320","0.34375","0.34375","0.34375","","",""
"321","0.875","0.875","0.875","","",""
"322","0.359375","0.359375","0.359375","","",""
"323","0.359375","0.359375","0.359375","","",""
"324","0.3125","0.3125","0.3125","","",""
"325","0.90625","0.90625","0.90625","","",""
"326","0.359375","0.359375","0.359375","","",""
"327","0.40625","0.40625","0.40625","","",""
"328","0.421875","0.421875","0.421875","","",""
"329","0.515625","0.515625","0.515625","","",""
"330","0.671875","0.671875","0.671875","","",""
"331","0.40625","0.40625","0.40625","","",""
"332","0.546875","0.546875","0.546875","","",""
"333","0.5625","0.5625","0.5625","","",""
"334","0.515625","0.515625","0.515625","","",""
"335","0.359375","0.359375","0.359375","","",""
"336","0.46875","0.46875","0.46875","","",""
"337","0.375","0.375","0.375","","",""
"338","0.203125","0.203125","0.203125","","",""
"339","0.484375","0.484375","0.484375","","",""
"340","0.4375","0.4375","0.4375","","",""
"341","0.5","0.5","0.5","","",""
"342","0.734375","0.734375","0.734375","","",""
"343","0.40625","0.40625","0.40625","","",""
"344","0.296875","0.296875","0.296875","","",""
"345","0.75","0.75","0.75","","",""
"346","0.25","0.25","0.25","","",""
"347","0.53125","0.53125","0.53125","","",""
"348","0.40625","0.40625","0.40625","","",""
"349","0.46875","0.46875","0.46875","","",""
"350","0.5","0.5","0.5","","",""
"351","0.8125","0.8125","0.8125","","",""
"352","0.40625","0.40625","0.40625","","",""
"353","0.75","0.75","0.75","","",""
"354","0.6875","0.6875","0.6875","","",""
"355","0.734375","0.734375","0.734375","","",""
"356","0.53125","0.53125","0.53125","","",""
"357","0.375","0.375","0.375","","",""
"358","0.453125","0.453125","0.453125","","",""
"359","0.40625","0.40625","0.40625","","",""
"360","0.578125","0.578125","0.578125","","",""
"361","0.640625","0.640625","0.640625","","",""
"362","0.671875","0.671875","0.671875","","",""
"363","0.34375","0.34375","0.34375","","",""
"364","0.40625","0.40625","0.40625","","",""
"365","0.5","0.5","0.5","","",""
"366","0.515625","0.515625","0.515625","","",""
"367","0.4375","0.4375","0.4375","","",""
"368","0.390625","0.390625","0.390625","","",""
"369","0.609375","0.609375","0.609375","","",""
"370","0.578125","0.578125","0.578125","","",""
"371","0.40625","0.40625","0.40625","","",""
"372","0.328125","0.328125","0.328125","","",""
"373","0.359375","0.359375","0.359375","","",""
"374","0.796875","0.796875","0.796875","","",""
"375","0.40625","0.40625","0.40625","","",""
"376","0.671875","0.671875","0.671875","","",""
"377","0.359375","0.359375","0.359375","","",""
"378","0.09375","0.09375","0.09375","","",""
"379","0.265625","0.265625","0.265625","","",""
"380","0.609375","0.609375","0.609375","","",""
"381","0.625","0.625","0.625","","",""
"382","0.640625","0.640625","0.640625","","",""
"383","0.4375","0.4375","0.4375","","",""
"384","0.640625","0.640625","0.640625","","",""
"385","0.484375","0.484375","0.484375","","",""
"386","0.375","0.375","0.375","","",""
"387","0.265625","0.265625","0.265625","","",""
"388","0.28125","0.28125","0.28125","","",""
"389","0.59375","0.59375","0.59375","","",""
"390","0.5","0.5","0.5","","",""
"391","0.25","0.25","0.25","","",""
"392","0.328125","0.328125","0.328125","","",""
"393","0.3125","0.3125","0.3125","","",""
"394","0.453125","0.453125","0.453125","","",""
"395","0.3125","0.3125","0.3125","","",""
"396","0.671875","0.671875","0.671875","","",""
"397","0.40625","0.40625","0.40625","","",""
"398","0.25","0.25","0.25","","",""
"399","0.265625","0.265625","0.265625","","",""
"400","0.625","0.625","0.625","","",""
"401","0.21875","0.21875","0.21875","","",""
"402","0.328125","0.328125","0.328125","","",""
"403","0.28125","0.28125","0.28125","","",""
"404","0.296875","0.296875","0.296875","","",""
"405","0.453125","0.453125","0.453125","","",""
"406","0.453125","0.453125","0.453125","","",""
"407","0.640625","0.640625","0.640625","","",""
"408","0.46875","0.46875","0.46875","","",""
"409","0.46875","0.46875","0.46875","","",""
"410","0.609375","0.609375","0.609375","","",""
"411","0.578125","0.578125","0.578125","","",""
